driver_id,class_id,img_id
p022,using_phone,img_40245.jpg
p039,using_phone,img_612.jpg
p056,safe_driving,img_15470.jpg
p015,drinking,img_90835.jpg
p015,using_phone,img_91951.jpg
p049,using_phone,img_58472.jpg
p039,using_phone,img_77309.jpg
p051,using_phone,img_76136.jpg
p015,using_phone,img_5733.jpg
p021,safe_driving,img_64413.jpg
p026,using_phone,img_81950.jpg
p050,using_phone,img_38969.jpg
p051,safe_driving,img_37728.jpg
p026,using_phone,img_71532.jpg
p066,using_phone,img_63124.jpg
p064,using_phone,img_45088.jpg
p047,using_phone,img_60616.jpg
p016,drinking,img_26246.jpg
p052,using_phone,img_82438.jpg
p024,using_phone,img_39553.jpg
p049,drinking,img_60485.jpg
p049,using_phone,img_87160.jpg
p066,using_phone,img_11671.jpg
p042,safe_driving,img_69183.jpg
p045,using_phone,img_62201.jpg
p051,safe_driving,img_411.jpg
p022,using_phone,img_69678.jpg
p022,using_phone,img_38429.jpg
p015,using_phone,img_86027.jpg
p075,using_phone,img_62085.jpg
p056,using_phone,img_4100.jpg
p042,using_phone,img_48907.jpg
p075,safe_driving,img_39447.jpg
p042,using_phone,img_28978.jpg
p026,drinking,img_84875.jpg
p081,drinking,img_55578.jpg
p075,using_phone,img_33076.jpg
p052,using_phone,img_88535.jpg
p050,drinking,img_59991.jpg
p045,using_phone,img_54029.jpg
p026,drinking,img_46973.jpg
p026,using_phone,img_42862.jpg
p050,safe_driving,img_82025.jpg
p035,using_phone,img_53611.jpg
p022,using_phone,img_86860.jpg
p041,using_phone,img_84638.jpg
p061,using_phone,img_48946.jpg
p021,using_phone,img_28119.jpg
p045,using_phone,img_38371.jpg
p049,using_phone,img_18257.jpg
p075,drinking,img_38348.jpg
p051,using_phone,img_11743.jpg
p061,safe_driving,img_98733.jpg
p026,using_phone,img_18760.jpg
p066,drinking,img_22707.jpg
p050,drinking,img_58747.jpg
p056,using_phone,img_96908.jpg
p050,using_phone,img_43857.jpg
p049,safe_driving,img_50702.jpg
p061,using_phone,img_30910.jpg
p052,using_phone,img_79518.jpg
p021,using_phone,img_87427.jpg
p042,using_phone,img_30874.jpg
p015,safe_driving,img_15197.jpg
p026,using_phone,img_75312.jpg
p049,drinking,img_44209.jpg
p081,using_phone,img_35964.jpg
p066,safe_driving,img_85057.jpg
p051,using_phone,img_93557.jpg
p075,using_phone,img_9384.jpg
p064,using_phone,img_79192.jpg
p026,using_phone,img_52614.jpg
p064,using_phone,img_67273.jpg
p016,using_phone,img_77299.jpg
p051,safe_driving,img_13482.jpg
p024,using_phone,img_64065.jpg
p024,safe_driving,img_17152.jpg
p021,using_phone,img_73384.jpg
p066,using_phone,img_57494.jpg
p066,drinking,img_3779.jpg
p051,using_phone,img_21251.jpg
p064,using_phone,img_36358.jpg
p066,using_phone,img_101122.jpg
p039,using_phone,img_32614.jpg
p016,using_phone,img_67140.jpg
p024,using_phone,img_40658.jpg
p064,using_phone,img_6133.jpg
p002,using_phone,img_86479.jpg
p039,using_phone,img_77266.jpg
p026,using_phone,img_40118.jpg
p049,using_phone,img_1327.jpg
p035,safe_driving,img_36155.jpg
p015,using_phone,img_63556.jpg
p041,safe_driving,img_75225.jpg
p015,using_phone,img_40257.jpg
p081,safe_driving,img_71240.jpg
p064,drinking,img_43063.jpg
